DATE, readings.size(), flightpath.size()
21-09-2020, 33, 104
22-09-2020, 33, 83
23-09-2020, 33, 104
24-09-2020, 33, 88
25-09-2020, 33, 117
26-09-2020, 33, 112
27-09-2020, 33, 97
28-09-2020, 33, 89
01-10-2020, 33, 114
02-10-2020, 33, 57
03-10-2020, 33, 110
04-10-2020, 33, 111
05-10-2020, 33, 99
06-10-2020, 33, 117
07-10-2020, 33, 113
08-10-2020, 33, 98
09-10-2020, 33, 150
10-10-2020, 33, 98
11-10-2020, 33, 108
12-10-2020, 33, 103
13-10-2020, 33, 114
14-10-2020, 33, 90
15-10-2020, 33, 114
16-10-2020, 33, 116
17-10-2020, 33, 104
18-10-2020, 33, 102
19-10-2020, 33, 94
20-10-2020, 33, 97
21-10-2020, 33, 99
22-10-2020, 33, 104
23-10-2020, 33, 87
24-10-2020, 33, 137
25-10-2020, 33, 122
26-10-2020, 33, 108
27-10-2020, 33, 93
28-10-2020, 33, 101
01-11-2020, 33, 116
02-11-2020, 33, 93
03-11-2020, 33, 114
04-11-2020, 33, 112
05-11-2020, 33, 112
06-11-2020, 33, 103
07-11-2020, 33, 104
08-11-2020, 33, 90
09-11-2020, 33, 105
10-11-2020, 33, 113
11-11-2020, 33, 96
12-11-2020, 33, 93
13-11-2020, 33, 113
14-11-2020, 33, 104
15-11-2020, 33, 103
16-11-2020, 33, 95
17-11-2020, 20, 150
18-11-2020, 33, 101
19-11-2020, 33, 115
20-11-2020, 33, 97
21-11-2020, 33, 99
22-11-2020, 33, 109
23-11-2020, 33, 95
24-11-2020, 33, 86
25-11-2020, 33, 113
26-11-2020, 33, 96
27-11-2020, 33, 100
28-11-2020, 33, 95
01-12-2020, 33, 109
02-12-2020, 33, 120
03-12-2020, 33, 110
04-12-2020, 33, 93
05-12-2020, 33, 87
06-12-2020, 33, 104
07-12-2020, 33, 114
08-12-2020, 33, 150
09-12-2020, 33, 111
10-12-2020, 33, 98
11-12-2020, 33, 112
12-12-2020, 33, 121
13-12-2020, 33, 96
14-12-2020, 33, 123
15-12-2020, 33, 91
16-12-2020, 33, 99
17-12-2020, 33, 93
